id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_8752,"Grade 6 Byjus Math and Science Learn and Practice workbooks","Books in excellent condition, some not at all used.",https://www.swiddly.com/wp-content/uploads/2022/04/20220404_114945-scaled.jpg,https://www.swiddly.com/product/grade-6-byjus-math-and-science-learn-and-practice-workbooks/,"CBSE","Swiddly",90AED,in stock,wc_post_id_8752,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,90AED,new,published,,,,,,,
wc_post_id_8736,"1 Side Plain A5 Exercise Notebook 200 Pages(5 piece set)","1 Side Plain A5 Exercise Book - Set of 5 
 
  200-Pages notebook for the cheapest price avaiable in the market. 
   
High-quality paper, ideal for writing on both sides 
 
   
Education-standard, smooth surface for a seamless writing experience 
 
   
Ideal for academic as well as office use",https://www.swiddly.com/wp-content/uploads/2022/04/ba096e5b7360357d6e3e0e850d660894.webp,https://www.swiddly.com/product/1-side-plain-a5-exercise-notebook-200-pages5-piece-set/,"Notebooks","Swiddly",40AED,in stock,wc_post_id_8736,,"https://www.swiddly.com/wp-content/uploads/2022/04/img_115881728749951842_N21568743A_2_L.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40AED,new,published,,,,,,,
wc_post_id_8733,"Single Line Left Margin Exercise Book 100-Pages (5 piece set)","Single Line Left Margin Exercise Book - Set of 5 
 
  100-Pages notebook for the cheapest price avaiable in the market. 
   
High-quality paper, ideal for writing on both sides 
 
   
Education-standard, smooth surface for a seamless writing experience 
 
   
Ideal for academic as well as office use",https://www.swiddly.com/wp-content/uploads/2022/04/24e72f0deeb6373e2f5000cd7b5772a3.jpg,https://www.swiddly.com/product/single-line-left-margin-exercise-book-100-pages-5-piece-set/,"Notebooks","Swiddly",40AED,in stock,wc_post_id_8733,,"https://www.swiddly.com/wp-content/uploads/2022/04/httpsi.ibb_.co1bk27jhfsebslm80-n-open.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40AED,new,published,,,,,,,
wc_post_id_8730,"Four Line Ruled Exercise Book 100 Pages (5 piece set)","Four Line Ruled Exercise Book - Set of 5 
 
  100-Pages notebook for the cheapest price avaiable in the market. 
   
High-quality paper, ideal for writing on both sides 
 
   
Education-standard, smooth surface for a seamless writing experience 
 
   
Ideal for academic as well as office use",https://www.swiddly.com/wp-content/uploads/2022/04/img_6482027744948832299_N21568743A_1_L.jpg,https://www.swiddly.com/product/four-line-ruled-exercise-book-100-pages-5-piece-set/,"Notebooks","Swiddly",40AED,in stock,wc_post_id_8730,,"https://www.swiddly.com/wp-content/uploads/2022/04/img_115881728749951842_N21568743A_2_L.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40AED,new,published,,,,,,,
wc_post_id_8723,"5mm Square Exercise Book 200-Pages Blue (5 piece set)","5mm Square Exercise Book - Set of 5 
 
  200-Pages notebook for the cheapest price avaiable in the market. 
   
High-quality paper, ideal for writing on both sides 
 
   
Education-standard, smooth surface for a seamless writing experience 
 
   
Ideal for academic as well as office use",https://www.swiddly.com/wp-content/uploads/2022/04/SquareNB.png,https://www.swiddly.com/product/5mm-square-exercise-book-200-pages-blue-5-piece-set/,"Notebooks, Uncategorized","Swiddly",38AED,in stock,wc_post_id_8723,,"https://www.swiddly.com/wp-content/uploads/2022/04/SquareNB2.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,38AED,new,published,,,,,,,
wc_post_id_8720,"Words and Expression 2 Workbook Grade 10","Words and Expression 2 Workbook Grade 10",https://www.swiddly.com/wp-content/uploads/2022/04/A11NYT27gL.jpg,https://www.swiddly.com/product/words-and-expression-2-workbook-grade-10/,"CBSE","Swiddly",25AED,in stock,wc_post_id_8720,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25AED,new,published,,,,,,,
wc_post_id_8718,"Class 11 PCME BookSet New","Buy New Book SET for Grade 11 
 
The Bookset Includes following title as per syllabus 2022-23 : Subject to availability 
 
 
 
Gr 11 Snapshots 
 
 
Gr 11 Hornbill 
 
 
NCERT Physics part 1 
 
 
NCERT Physics part 2 
 
 
 NCERT Chemistry part 1 
 
 
NCERT Chemistry part 2 
 
 
Mathematics XI",https://www.swiddly.com/wp-content/uploads/2022/03/51fVL8RyITL._SX258_BO1204203200_.jpg,https://www.swiddly.com/product/class-11-pcme-bookset-new/,"CBSE","Swiddly",600AED,in stock,wc_post_id_8718,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,180AED,new,published,,,,,,,
wc_post_id_8704,"Grade 5 textbook set - OOB sharjah","All grade 5 books are as good as new. 
 
Few pencil pen marks.",https://www.swiddly.com/wp-content/uploads/2022/03/grade5.png,https://www.swiddly.com/product/grade5/,"CBSE","Swiddly",300AED,in stock,wc_post_id_8704,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,220AED,new,published,,,,,,,
wc_post_id_8692,"Grade 4 textbook set - OOB sharjah","All grade 4 books are new and unused. Bought, but never used, as the family left to India for good.",https://www.swiddly.com/wp-content/uploads/2022/03/grade4.png,https://www.swiddly.com/product/grade4/,"CBSE","Swiddly",600AED,in stock,wc_post_id_8692,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,300AED,new,published,,,,,,,
wc_post_id_8645,"Grade 9 Hindi BookSet New","Buy New Book SET for Grade 9 
 
The Bookset Includes following title as per syllabus 2022-23 : Subject to availability 
 
 
 
English Book Beehive - 9 
 
 
English Book Moments - 9 
 
 
Mathematics - 9 
 
 
Science Text Book - 9 
 
 
Sparsh Bhag-1 
 
 
Hindi Vyakaran Vyom - 1X - X 
 
 
India And The Contemporary World - I 
 
 
Democratic Politics  I 
 
 
Contemporary India  I 
 
 
Under Standing Economic Development  I",https://www.swiddly.com/wp-content/uploads/2022/03/51QXFUxosFL._SY432_BO1204203200_.jpg,https://www.swiddly.com/product/cbse_grade_9/,"CBSE","Swiddly",600AED,in stock,wc_post_id_8645,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,150AED,new,published,,,,,,,
