Log created: 2021-12-20 08:12:13
Type: staging
[2021-12-20 08:12:13][notice]Start creating staging site.
[2021-12-20 08:12:13][notice]server info fcgi:Off max execution time: 900 wp version:5.8.2 php version:7.4.26 db version:5.5.5 php ini:safe_mode: memory_limit:256M memory_get_usage:36.71 MB memory_get_peak_usage:36.79 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2021-12-20 08:12:13][notice]Start processing core.
[2021-12-20 08:12:13][notice]Prepare to copy core files.
[2021-12-20 08:12:13][notice]Retrieve the files required to copy.
[2021-12-20 08:12:13][notice]Create a cache file.
[2021-12-20 08:12:13][notice]Copying files starts from: 0
[2021-12-20 08:12:13][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html to /home/u481628193/domains/swiddly.com/public_html/mystaging01
[2021-12-20 08:12:16][notice]The count of copied files: 500
[2021-12-20 08:12:16][notice]The next copying files starts from:500
[2021-12-20 08:12:18][notice]The count of copied files: 500
[2021-12-20 08:12:18][notice]The next copying files starts from:1000
[2021-12-20 08:12:20][notice]The count of copied files: 500
[2021-12-20 08:12:20][notice]The next copying files starts from:1500
[2021-12-20 08:12:25][notice]The count of copied files: 500
[2021-12-20 08:12:25][notice]The next copying files starts from:2000
[2021-12-20 08:12:27][notice]Copying core files is completed.
[2021-12-20 08:12:27][notice]Replacing table_prefix in wp-config.php is completed.
[2021-12-20 08:12:30][notice]Start processing wp-content.
[2021-12-20 08:12:30][notice]Prepare to copy wp-content files.
[2021-12-20 08:12:30][notice]Retrieve the files required to copy.
[2021-12-20 08:12:30][notice]Create a cache file.
[2021-12-20 08:12:30][notice]Copying files starts from: 0
[2021-12-20 08:12:30][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content
[2021-12-20 08:12:31][notice]Copying wp-content files is completed.
[2021-12-20 08:12:34][notice]Start processing plugins.
[2021-12-20 08:12:34][notice]Prepare to copy plugins files.
[2021-12-20 08:12:34][notice]Retrieve the files required to copy.
[2021-12-20 08:12:34][notice]Create a cache file.
[2021-12-20 08:12:34][notice]Copying files starts from: 0
[2021-12-20 08:12:34][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/plugins to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/plugins
[2021-12-20 08:12:37][notice]The count of copied files: 500
[2021-12-20 08:12:37][notice]The next copying files starts from:500
[2021-12-20 08:12:40][notice]The count of copied files: 500
[2021-12-20 08:12:40][notice]The next copying files starts from:1000
[2021-12-20 08:12:44][notice]The count of copied files: 500
[2021-12-20 08:12:44][notice]The next copying files starts from:1500
[2021-12-20 08:12:48][notice]The count of copied files: 500
[2021-12-20 08:12:48][notice]The next copying files starts from:2000
[2021-12-20 08:12:51][notice]The count of copied files: 500
[2021-12-20 08:12:51][notice]The next copying files starts from:2500
[2021-12-20 08:12:55][notice]The count of copied files: 500
[2021-12-20 08:12:55][notice]The next copying files starts from:3000
[2021-12-20 08:12:57][notice]The count of copied files: 500
[2021-12-20 08:12:57][notice]The next copying files starts from:3500
[2021-12-20 08:12:59][notice]The count of copied files: 500
[2021-12-20 08:12:59][notice]The next copying files starts from:4000
[2021-12-20 08:13:02][notice]The count of copied files: 500
[2021-12-20 08:13:02][notice]The next copying files starts from:4500
[2021-12-20 08:13:06][notice]The count of copied files: 500
[2021-12-20 08:13:06][notice]The next copying files starts from:5000
[2021-12-20 08:13:08][notice]The count of copied files: 500
[2021-12-20 08:13:08][notice]The next copying files starts from:5500
[2021-12-20 08:13:10][notice]The count of copied files: 500
[2021-12-20 08:13:10][notice]The next copying files starts from:6000
[2021-12-20 08:13:13][notice]The count of copied files: 500
[2021-12-20 08:13:13][notice]The next copying files starts from:6500
[2021-12-20 08:13:15][notice]The count of copied files: 500
[2021-12-20 08:13:15][notice]The next copying files starts from:7000
[2021-12-20 08:13:17][notice]The count of copied files: 500
[2021-12-20 08:13:17][notice]The next copying files starts from:7500
[2021-12-20 08:13:21][notice]The count of copied files: 500
[2021-12-20 08:13:21][notice]The next copying files starts from:8000
[2021-12-20 08:13:24][notice]The count of copied files: 500
[2021-12-20 08:13:24][notice]The next copying files starts from:8500
[2021-12-20 08:13:26][notice]The count of copied files: 500
[2021-12-20 08:13:26][notice]The next copying files starts from:9000
[2021-12-20 08:13:29][notice]The count of copied files: 500
[2021-12-20 08:13:29][notice]The next copying files starts from:9500
[2021-12-20 08:13:33][notice]The count of copied files: 500
[2021-12-20 08:13:33][notice]The next copying files starts from:10000
[2021-12-20 08:13:36][notice]The count of copied files: 500
[2021-12-20 08:13:36][notice]The next copying files starts from:10500
[2021-12-20 08:13:38][notice]The count of copied files: 500
[2021-12-20 08:13:38][notice]The next copying files starts from:11000
[2021-12-20 08:13:42][notice]The count of copied files: 500
[2021-12-20 08:13:42][notice]The next copying files starts from:11500
[2021-12-20 08:13:46][notice]The count of copied files: 500
[2021-12-20 08:13:46][notice]The next copying files starts from:12000
[2021-12-20 08:13:49][notice]The count of copied files: 500
[2021-12-20 08:13:49][notice]The next copying files starts from:12500
[2021-12-20 08:13:53][notice]The count of copied files: 500
[2021-12-20 08:13:53][notice]The next copying files starts from:13000
[2021-12-20 08:13:56][notice]The count of copied files: 500
[2021-12-20 08:13:56][notice]The next copying files starts from:13500
[2021-12-20 08:14:00][notice]The count of copied files: 500
[2021-12-20 08:14:00][notice]The next copying files starts from:14000
[2021-12-20 08:14:02][notice]The count of copied files: 500
[2021-12-20 08:14:02][notice]The next copying files starts from:14500
[2021-12-20 08:14:05][notice]The count of copied files: 500
[2021-12-20 08:14:05][notice]The next copying files starts from:15000
[2021-12-20 08:14:09][notice]The count of copied files: 500
[2021-12-20 08:14:09][notice]The next copying files starts from:15500
[2021-12-20 08:14:12][notice]The count of copied files: 500
[2021-12-20 08:14:12][notice]The next copying files starts from:16000
[2021-12-20 08:14:18][notice]The count of copied files: 500
[2021-12-20 08:14:18][notice]The next copying files starts from:16500
[2021-12-20 08:14:27][notice]The count of copied files: 500
[2021-12-20 08:14:27][notice]The next copying files starts from:17000
[2021-12-20 08:14:30][notice]The count of copied files: 500
[2021-12-20 08:14:30][notice]The next copying files starts from:17500
[2021-12-20 08:14:30][notice]The count of copied files: 500
[2021-12-20 08:14:30][notice]The next copying files starts from:18000
[2021-12-20 08:14:31][notice]The count of copied files: 500
[2021-12-20 08:14:31][notice]The next copying files starts from:18500
[2021-12-20 08:14:33][notice]The count of copied files: 500
[2021-12-20 08:14:33][notice]The next copying files starts from:19000
