Log created: 2021-12-26 10:57:23
Type: staging
[2021-12-26 10:57:23][notice]Start creating staging site.
[2021-12-26 10:57:23][notice]server info fcgi:Off max execution time: 900 wp version:5.8.2 php version:7.4.26 db version:5.5.5 php ini:safe_mode: memory_limit:256M memory_get_usage:33.53 MB memory_get_peak_usage:33.62 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2021-12-26 10:57:23][notice]Start processing core.
[2021-12-26 10:57:23][notice]Prepare to copy core files.
[2021-12-26 10:57:23][notice]Retrieve the files required to copy.
[2021-12-26 10:57:23][notice]Create a cache file.
[2021-12-26 10:57:24][notice]Copying files starts from: 0
[2021-12-26 10:57:24][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html to /home/u481628193/domains/swiddly.com/public_html/mystaging01
[2021-12-26 10:57:24][notice]The count of copied files: 500
[2021-12-26 10:57:24][notice]The next copying files starts from:500
[2021-12-26 10:57:26][notice]The count of copied files: 500
[2021-12-26 10:57:26][notice]The next copying files starts from:1000
[2021-12-26 10:57:26][notice]The count of copied files: 500
[2021-12-26 10:57:26][notice]The next copying files starts from:1500
[2021-12-26 10:57:28][notice]The count of copied files: 500
[2021-12-26 10:57:28][notice]The next copying files starts from:2000
[2021-12-26 10:57:29][notice]Copying core files is completed.
[2021-12-26 10:57:29][notice]Replacing table_prefix in wp-config.php is completed.
[2021-12-26 10:57:33][notice]Start processing wp-content.
[2021-12-26 10:57:33][notice]Prepare to copy wp-content files.
[2021-12-26 10:57:33][notice]Retrieve the files required to copy.
[2021-12-26 10:57:33][notice]Create a cache file.
[2021-12-26 10:57:33][notice]Copying files starts from: 0
[2021-12-26 10:57:33][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content
[2021-12-26 10:57:33][notice]Copying wp-content files is completed.
[2021-12-26 10:57:36][notice]Start processing plugins.
[2021-12-26 10:57:36][notice]Prepare to copy plugins files.
[2021-12-26 10:57:36][notice]Retrieve the files required to copy.
[2021-12-26 10:57:36][notice]Create a cache file.
[2021-12-26 10:57:36][notice]Copying files starts from: 0
[2021-12-26 10:57:36][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/plugins to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/plugins
[2021-12-26 10:57:37][notice]The count of copied files: 500
[2021-12-26 10:57:37][notice]The next copying files starts from:500
[2021-12-26 10:57:37][notice]The count of copied files: 500
