Log created: 2022-01-14 12:12:23
Type: staging
[2022-01-14 12:12:23][notice]Start creating staging site.
[2022-01-14 12:12:23][notice]server info fcgi:Off max execution time: 900 wp version:5.8.3 php version:7.4.26 db version:5.5.5 php ini:safe_mode: memory_limit:256M memory_get_usage:37.78 MB memory_get_peak_usage:37.88 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2022-01-14 12:12:23][notice]Start processing core.
[2022-01-14 12:12:23][notice]Prepare to copy core files.
[2022-01-14 12:12:23][notice]Retrieve the files required to copy.
[2022-01-14 12:12:23][notice]Create a cache file.
[2022-01-14 12:12:23][notice]Copying files starts from: 0
[2022-01-14 12:12:23][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html to /home/u481628193/domains/swiddly.com/public_html/mystaging01
[2022-01-14 12:12:26][notice]The count of copied files: 500
[2022-01-14 12:12:26][notice]The next copying files starts from:500
[2022-01-14 12:12:28][notice]The count of copied files: 500
[2022-01-14 12:12:28][notice]The next copying files starts from:1000
[2022-01-14 12:12:31][notice]The count of copied files: 500
[2022-01-14 12:12:31][notice]The next copying files starts from:1500
[2022-01-14 12:12:35][notice]The count of copied files: 500
[2022-01-14 12:12:35][notice]The next copying files starts from:2000
[2022-01-14 12:12:38][notice]Copying core files is completed.
[2022-01-14 12:12:38][notice]Replacing table_prefix in wp-config.php is completed.
[2022-01-14 12:12:41][notice]Start processing wp-content.
[2022-01-14 12:12:41][notice]Prepare to copy wp-content files.
[2022-01-14 12:12:41][notice]Retrieve the files required to copy.
[2022-01-14 12:12:41][notice]Create a cache file.
[2022-01-14 12:12:41][notice]Copying files starts from: 0
[2022-01-14 12:12:41][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content
[2022-01-14 12:12:41][notice]Copying wp-content files is completed.
[2022-01-14 12:12:44][notice]Start processing plugins.
[2022-01-14 12:12:44][notice]Prepare to copy plugins files.
[2022-01-14 12:12:44][notice]Retrieve the files required to copy.
[2022-01-14 12:12:44][notice]Create a cache file.
[2022-01-14 12:12:45][notice]Copying files starts from: 0
[2022-01-14 12:12:45][notice]Copying files from /home/u481628193/domains/swiddly.com/public_html/wp-content/plugins to /home/u481628193/domains/swiddly.com/public_html/mystaging01/wp-content/plugins
[2022-01-14 12:12:47][notice]The count of copied files: 500
[2022-01-14 12:12:47][notice]The next copying files starts from:500
[2022-01-14 12:12:51][notice]The count of copied files: 500
[2022-01-14 12:12:51][notice]The next copying files starts from:1000
[2022-01-14 12:12:55][notice]The count of copied files: 500
[2022-01-14 12:12:55][notice]The next copying files starts from:1500
[2022-01-14 12:12:58][notice]The count of copied files: 500
[2022-01-14 12:12:58][notice]The next copying files starts from:2000
[2022-01-14 12:13:02][notice]The count of copied files: 500
[2022-01-14 12:13:02][notice]The next copying files starts from:2500
[2022-01-14 12:13:04][notice]The count of copied files: 500
[2022-01-14 12:13:04][notice]The next copying files starts from:3000
[2022-01-14 12:13:08][notice]The count of copied files: 500
[2022-01-14 12:13:08][notice]The next copying files starts from:3500
[2022-01-14 12:13:10][notice]The count of copied files: 500
[2022-01-14 12:13:10][notice]The next copying files starts from:4000
[2022-01-14 12:13:14][notice]The count of copied files: 500
[2022-01-14 12:13:14][notice]The next copying files starts from:4500
[2022-01-14 12:13:17][notice]The count of copied files: 500
[2022-01-14 12:13:17][notice]The next copying files starts from:5000
[2022-01-14 12:13:20][notice]The count of copied files: 500
[2022-01-14 12:13:20][notice]The next copying files starts from:5500
[2022-01-14 12:13:23][notice]The count of copied files: 500
[2022-01-14 12:13:23][notice]The next copying files starts from:6000
[2022-01-14 12:13:26][notice]The count of copied files: 500
[2022-01-14 12:13:26][notice]The next copying files starts from:6500
[2022-01-14 12:13:27][notice]The count of copied files: 500
[2022-01-14 12:13:27][notice]The next copying files starts from:7000
[2022-01-14 12:13:30][notice]The count of copied files: 500
[2022-01-14 12:13:30][notice]The next copying files starts from:7500
[2022-01-14 12:13:34][notice]The count of copied files: 500
[2022-01-14 12:13:34][notice]The next copying files starts from:8000
[2022-01-14 12:13:37][notice]The count of copied files: 500
[2022-01-14 12:13:37][notice]The next copying files starts from:8500
[2022-01-14 12:13:40][notice]The count of copied files: 500
[2022-01-14 12:13:40][notice]The next copying files starts from:9000
[2022-01-14 12:13:42][notice]The count of copied files: 500
[2022-01-14 12:13:42][notice]The next copying files starts from:9500
[2022-01-14 12:13:46][notice]The count of copied files: 500
[2022-01-14 12:13:46][notice]The next copying files starts from:10000
[2022-01-14 12:13:48][notice]The count of copied files: 500
[2022-01-14 12:13:48][notice]The next copying files starts from:10500
